"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3,0,-33,1.58996466095432
3,0,-30,1.64076999303814
3,0,-27,1.70473622169293
3,0,-24,1.78370125206684
3,0,-21,1.87693692669994
3,0,-18,1.98109042891512
3,0,-15,2.09054044656211
3,0,-12,2.19808750570577
3,0,-9,2.29588109960658
3,0,-6,2.37643902655035
3,0,-3,2.43357960133253
3,0,0,2.46310967373605
3,0,3,2.4631890832676
3,0,6,2.43438102580157
3,0,9,2.37945145543818
3,0,12,2.302985713804
3,0,15,2.21086867338508
3,0,18,2.10965767897438
3,0,21,2.0058823795757
3,0,24,1.90532849598493
3,0,27,1.812391846223
3,0,30,1.7296161561698
3,0,33,1.6575437412837
3,0,36,1.59498810492941
3,0,39,1.53974825946829
3,0,42,1.489619594817
3,0,45,1.44337702080673
3,0,48,1.40133345236671
3,0,51,1.36520792567489
3,0,54,1.33734723210923
3,0,57,1.31966566152729
3,0,60,1.3127958887902
3,0,63,1.31579657394443
3,0,66,1.3264444975598
3,0,69,1.34186250445533
3,0,72,1.35915349323419
3,0,75,1.37582200155713
3,0,78,1.38994419632415
3,0,81,1.40016701320288
3,0,84,1.40563558884623
3,0,87,1.40590574367936
3,0,90,1.40085750923457
3,0,93,1.39061783262872
3,0,96,1.37551721607365
3,0,99,1.35612027294943
3,0,102,1.33336278661332
3,0,105,1.30878882057607
3,0,108,1.28481407281397
3,0,111,1.26486612095551
3,0,114,1.25321199930013
3,0,117,1.25433635162642
3,0,120,1.27191124012897
3,0,123,1.30765407591332
3,0,126,1.36056093762375
3,0,129,1.42696299353082
3,0,132,1.50152872377664
3,0,135,1.57886965575249
3,0,138,1.65508584181439
3,0,141,1.72862880556518
3,0,144,1.80023777514756
3,0,147,1.87215708414576
3,0,150,1.94707875702808
3,0,153,2.02718363716609
3,0,156,2.11342739907101
3,0,159,2.20506056139014
3,0,162,2.29938199759248
3,0,165,2.39181645495005
3,0,168,2.4764236928549
3,0,171,2.54682419188057
3,0,174,2.59733760951766
3,0,177,2.62401057742166
3,0,180,2.6252420274159
2.4,90,-180,1.63705913450914
2.4,90,-177,1.66644598497496
2.4,90,-174,1.68861790906591
2.4,90,-171,1.70305381727033
2.4,90,-168,1.70916312275183
2.4,90,-165,1.70620386339746
2.4,90,-162,1.693241385064
2.4,90,-159,1.6691832347046
2.4,90,-156,1.63290838863898
2.4,90,-153,1.58348266245092
2.4,90,-150,1.52042297821353
2.4,90,-147,1.44394931472806
2.4,90,-144,1.35515357942719
2.4,90,-141,1.25602582272493
2.4,90,-138,1.14931049742799
2.4,90,-135,1.0382109027598
2.4,90,-132,0.926003959707772
2.4,90,-129,0.81565434390725
2.4,90,-126,0.709516872964441
2.4,90,-123,0.609189346171075
2.4,90,-120,0.515535008095154
2.4,90,-117,0.428849436748814
2.4,90,-114,0.349114191537996
2.4,90,-111,0.27626610380476
2.4,90,-108,0.210416834681503
2.4,90,-105,0.151977484135272
2.4,90,-102,0.101670611163544
2.4,90,-99,0.0604398811428257
2.4,90,-96,0.0292896592385386
2.4,90,-93,0.00909912950029686
2.4,90,-90,0.000456449122801279
2.4,90,-87,0.00354935626641503
2.4,90,-84,0.0181330454255764
2.4,90,-81,0.0435784104616348
2.4,90,-78,0.0789878107544235
2.4,90,-75,0.123353800348457
2.4,90,-72,0.175729713749492
2.4,90,-69,0.235379514777077
2.4,90,-66,0.301877317894808
2.4,90,-63,0.375133858717961
2.4,90,-60,0.455337399624865
2.4,90,-57,0.542809668466992
2.4,90,-54,0.637792832173158
2.4,90,-51,0.740199812644334
2.4,90,-48,0.849374513592248
2.4,90,-45,0.96391602980843
2.4,90,-42,1.08161643486495
2.4,90,-39,1.19954239648003
2.4,90,-36,1.31425907971036
2.4,90,-33,1.4221591581715
2.4,90,-30,1.51983226987639
2.4,90,-27,1.60440098577158
2.4,90,-24,1.67376148817008
2.4,90,-21,1.7266955043849
2.4,90,-18,1.76285379905581
